Classifier,Precision,Recall
Logistic Regression,0.2204,0.7987
Logistic Regression,0.2208,0.7987
Logistic Regression,0.2212,0.7987
Logistic Regression,0.2216,0.7987
Logistic Regression,0.222,0.7987
Logistic Regression,0.2224,0.7987
Logistic Regression,0.2228,0.7987
Logistic Regression,0.2232,0.7987
Logistic Regression,0.2236,0.7987
Logistic Regression,0.224,0.7987
Logistic Regression,0.2245,0.7987
Logistic Regression,0.2249,0.7987
Logistic Regression,0.2253,0.7987
Logistic Regression,0.2257,0.7987
Logistic Regression,0.2261,0.7987
Logistic Regression,0.2265,0.7987
Logistic Regression,0.2269,0.7987
Logistic Regression,0.2255,0.7922
Logistic Regression,0.2259,0.7922
Logistic Regression,0.2263,0.7922
Logistic Regression,0.2268,0.7922
Logistic Regression,0.2272,0.7922
Logistic Regression,0.2276,0.7922
Logistic Regression,0.228,0.7922
Logistic Regression,0.2285,0.7922
Logistic Regression,0.2289,0.7922
Logistic Regression,0.2293,0.7922
Logistic Regression,0.2298,0.7922
Logistic Regression,0.2302,0.7922
Logistic Regression,0.2306,0.7922
Logistic Regression,0.2311,0.7922
Logistic Regression,0.2315,0.7922
Logistic Regression,0.2319,0.7922
Logistic Regression,0.2324,0.7922
Logistic Regression,0.2309,0.7857
Logistic Regression,0.2314,0.7857
Logistic Regression,0.2318,0.7857
Logistic Regression,0.2322,0.7857
Logistic Regression,0.2327,0.7857
Logistic Regression,0.2331,0.7857
Logistic Regression,0.2336,0.7857
Logistic Regression,0.234,0.7857
Logistic Regression,0.2326,0.7792
Logistic Regression,0.233,0.7792
Logistic Regression,0.2335,0.7792
Logistic Regression,0.2339,0.7792
Logistic Regression,0.2344,0.7792
Logistic Regression,0.2348,0.7792
Logistic Regression,0.2353,0.7792
Logistic Regression,0.2358,0.7792
Logistic Regression,0.2362,0.7792
Logistic Regression,0.2367,0.7792
Logistic Regression,0.2352,0.7727
Logistic Regression,0.2356,0.7727
Logistic Regression,0.2341,0.7662
Logistic Regression,0.2346,0.7662
Logistic Regression,0.2351,0.7662
Logistic Regression,0.2355,0.7662
Logistic Regression,0.236,0.7662
Logistic Regression,0.2365,0.7662
Logistic Regression,0.2369,0.7662
Logistic Regression,0.2374,0.7662
Logistic Regression,0.2359,0.7597
Logistic Regression,0.2364,0.7597
Logistic Regression,0.2348,0.7532
Logistic Regression,0.2353,0.7532
Logistic Regression,0.2358,0.7532
Logistic Regression,0.2363,0.7532
Logistic Regression,0.2367,0.7532
Logistic Regression,0.2372,0.7532
Logistic Regression,0.2377,0.7532
Logistic Regression,0.2382,0.7532
Logistic Regression,0.2366,0.7468
Logistic Regression,0.2371,0.7468
Logistic Regression,0.2376,0.7468
Logistic Regression,0.236,0.7403
Logistic Regression,0.2365,0.7403
Logistic Regression,0.237,0.7403
Logistic Regression,0.2375,0.7403
Logistic Regression,0.238,0.7403
Logistic Regression,0.2385,0.7403
Logistic Regression,0.239,0.7403
Logistic Regression,0.2395,0.7403
Logistic Regression,0.24,0.7403
Logistic Regression,0.2405,0.7403
Logistic Regression,0.241,0.7403
Logistic Regression,0.2415,0.7403
Logistic Regression,0.242,0.7403
Logistic Regression,0.2426,0.7403
Logistic Regression,0.2431,0.7403
Logistic Regression,0.2436,0.7403
Logistic Regression,0.2441,0.7403
Logistic Regression,0.2446,0.7403
Logistic Regression,0.243,0.7338
Logistic Regression,0.2435,0.7338
Logistic Regression,0.2441,0.7338
Logistic Regression,0.2424,0.7273
Logistic Regression,0.2408,0.7208
Logistic Regression,0.2413,0.7208
Logistic Regression,0.2418,0.7208
Logistic Regression,0.2424,0.7208
Logistic Regression,0.2429,0.7208
Logistic Regression,0.2434,0.7208
Logistic Regression,0.244,0.7208
Logistic Regression,0.2445,0.7208
Logistic Regression,0.2428,0.7143
Logistic Regression,0.2434,0.7143
Logistic Regression,0.2439,0.7143
Logistic Regression,0.2444,0.7143
Logistic Regression,0.245,0.7143
Logistic Regression,0.2455,0.7143
Logistic Regression,0.2461,0.7143
Logistic Regression,0.2466,0.7143
Logistic Regression,0.2472,0.7143
Logistic Regression,0.2477,0.7143
Logistic Regression,0.2483,0.7143
Logistic Regression,0.2466,0.7078
Logistic Regression,0.2472,0.7078
Logistic Regression,0.2477,0.7078
Logistic Regression,0.2483,0.7078
Logistic Regression,0.2489,0.7078
Logistic Regression,0.2494,0.7078
Logistic Regression,0.25,0.7078
Logistic Regression,0.2483,0.7013
Logistic Regression,0.2488,0.7013
Logistic Regression,0.2494,0.7013
Logistic Regression,0.25,0.7013
Logistic Regression,0.2506,0.7013
Logistic Regression,0.2512,0.7013
Logistic Regression,0.2494,0.6948
Logistic Regression,0.25,0.6948
Logistic Regression,0.2506,0.6948
Logistic Regression,0.2512,0.6948
Logistic Regression,0.2518,0.6948
Logistic Regression,0.2524,0.6948
Logistic Regression,0.253,0.6948
Logistic Regression,0.2536,0.6948
Logistic Regression,0.2542,0.6948
Logistic Regression,0.2548,0.6948
Logistic Regression,0.2554,0.6948
Logistic Regression,0.256,0.6948
Logistic Regression,0.2542,0.6883
Logistic Regression,0.2524,0.6818
Logistic Regression,0.253,0.6818
Logistic Regression,0.2536,0.6818
Logistic Regression,0.2518,0.6753
Logistic Regression,0.2524,0.6753
Logistic Regression,0.2506,0.6688
Logistic Regression,0.2488,0.6623
Logistic Regression,0.2469,0.6558
Logistic Regression,0.2475,0.6558
Logistic Regression,0.2482,0.6558
Logistic Regression,0.2488,0.6558
Logistic Regression,0.2494,0.6558
Logistic Regression,0.25,0.6558
Logistic Regression,0.2506,0.6558
Logistic Regression,0.2512,0.6558
Logistic Regression,0.2519,0.6558
Logistic Regression,0.2525,0.6558
Logistic Regression,0.2531,0.6558
Logistic Regression,0.2538,0.6558
Logistic Regression,0.2544,0.6558
Logistic Regression,0.2551,0.6558
Logistic Regression,0.2557,0.6558
Logistic Regression,0.2563,0.6558
Logistic Regression,0.257,0.6558
Logistic Regression,0.2577,0.6558
Logistic Regression,0.2583,0.6558
Logistic Regression,0.259,0.6558
Logistic Regression,0.2596,0.6558
Logistic Regression,0.2603,0.6558
Logistic Regression,0.261,0.6558
Logistic Regression,0.2617,0.6558
Logistic Regression,0.2623,0.6558
Logistic Regression,0.263,0.6558
Logistic Regression,0.2637,0.6558
Logistic Regression,0.2644,0.6558
Logistic Regression,0.2651,0.6558
Logistic Regression,0.2658,0.6558
Logistic Regression,0.2665,0.6558
Logistic Regression,0.2672,0.6558
Logistic Regression,0.2679,0.6558
Logistic Regression,0.2686,0.6558
Logistic Regression,0.2693,0.6558
Logistic Regression,0.2701,0.6558
Logistic Regression,0.2708,0.6558
Logistic Regression,0.2715,0.6558
Logistic Regression,0.2722,0.6558
Logistic Regression,0.273,0.6558
Logistic Regression,0.271,0.6494
Logistic Regression,0.269,0.6429
Logistic Regression,0.2698,0.6429
Logistic Regression,0.2705,0.6429
Logistic Regression,0.2712,0.6429
Logistic Regression,0.272,0.6429
Logistic Regression,0.2727,0.6429
Logistic Regression,0.2735,0.6429
Logistic Regression,0.2742,0.6429
Logistic Regression,0.275,0.6429
Logistic Regression,0.2758,0.6429
Logistic Regression,0.2765,0.6429
Logistic Regression,0.2773,0.6429
Logistic Regression,0.2781,0.6429
Logistic Regression,0.2789,0.6429
Logistic Regression,0.2797,0.6429
Logistic Regression,0.2776,0.6364
Logistic Regression,0.2784,0.6364
Logistic Regression,0.2792,0.6364
Logistic Regression,0.28,0.6364
Logistic Regression,0.2808,0.6364
Logistic Regression,0.2816,0.6364
Logistic Regression,0.2824,0.6364
Logistic Regression,0.2832,0.6364
Logistic Regression,0.2812,0.6299
Logistic Regression,0.2791,0.6234
Logistic Regression,0.2799,0.6234
Logistic Regression,0.2807,0.6234
Logistic Regression,0.2815,0.6234
Logistic Regression,0.2824,0.6234
Logistic Regression,0.2832,0.6234
Logistic Regression,0.284,0.6234
Logistic Regression,0.2849,0.6234
Logistic Regression,0.2857,0.6234
Logistic Regression,0.2866,0.6234
Logistic Regression,0.2844,0.6169
Logistic Regression,0.2853,0.6169
Logistic Regression,0.2861,0.6169
Logistic Regression,0.284,0.6104
Logistic Regression,0.2848,0.6104
Logistic Regression,0.2857,0.6104
Logistic Regression,0.2866,0.6104
Logistic Regression,0.2875,0.6104
Logistic Regression,0.2883,0.6104
Logistic Regression,0.2862,0.6039
Logistic Regression,0.287,0.6039
Logistic Regression,0.2879,0.6039
Logistic Regression,0.2888,0.6039
Logistic Regression,0.2897,0.6039
Logistic Regression,0.2875,0.5974
Logistic Regression,0.2884,0.5974
Logistic Regression,0.2893,0.5974
Logistic Regression,0.2902,0.5974
Logistic Regression,0.2911,0.5974
Logistic Regression,0.2921,0.5974
Logistic Regression,0.293,0.5974
Logistic Regression,0.2907,0.5909
Logistic Regression,0.2917,0.5909
Logistic Regression,0.2926,0.5909
Logistic Regression,0.2935,0.5909
Logistic Regression,0.2913,0.5844
Logistic Regression,0.2922,0.5844
Logistic Regression,0.2932,0.5844
Logistic Regression,0.2941,0.5844
Logistic Regression,0.2951,0.5844
Logistic Regression,0.2961,0.5844
Logistic Regression,0.297,0.5844
Logistic Regression,0.298,0.5844
Logistic Regression,0.299,0.5844
Logistic Regression,0.3,0.5844
Logistic Regression,0.301,0.5844
Logistic Regression,0.302,0.5844
Logistic Regression,0.303,0.5844
Logistic Regression,0.3041,0.5844
Logistic Regression,0.3051,0.5844
Logistic Regression,0.3061,0.5844
Logistic Regression,0.3038,0.5779
Logistic Regression,0.3048,0.5779
Logistic Regression,0.3058,0.5779
Logistic Regression,0.3069,0.5779
Logistic Regression,0.308,0.5779
Logistic Regression,0.309,0.5779
Logistic Regression,0.3066,0.5714
Logistic Regression,0.3077,0.5714
Logistic Regression,0.3088,0.5714
Logistic Regression,0.3099,0.5714
Logistic Regression,0.311,0.5714
Logistic Regression,0.3121,0.5714
Logistic Regression,0.3132,0.5714
Logistic Regression,0.3143,0.5714
Logistic Regression,0.3154,0.5714
Logistic Regression,0.3165,0.5714
